Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn
46251,08-09-2020 9.38,Electronics,12,3,740,Credit Card,37,0,Christine Hernandez,37,Male,0
46251,05-03-2022 12.56,Home,468,4,2739,PayPal,37,0,Christine Hernandez,37,Male,0
46251,23-05-2022 18.18,Home,288,2,3196,PayPal,37,0,Christine Hernandez,37,Male,0
46251,12-11-2020 13.13,Clothing,196,1,3509,PayPal,37,0,Christine Hernandez,37,Male,0
13593,27-11-2020 17.55,Home,449,1,3452,Credit Card,49,0,James Grant,49,Female,1
13593,07-03-2023 14.17,Home,250,4,575,PayPal,49,1,James Grant,49,Female,1
13593,15-04-2023 3.02,Electronics,73,1,1896,Credit Card,49,0,James Grant,49,Female,1
13593,27-03-2021 21.23,Books,337,2,2937,Cash,49,0,James Grant,49,Female,1
13593,05-05-2020 20.14,Clothing,182,2,3363,PayPal,49,1,James Grant,49,Female,1
28805,13-09-2023 4.24,Electronics,394,2,1993,Credit Card,19,0,Jose Collier,19,Male,0
28805,31-03-2021 9.50,Clothing,366,1,246,PayPal,19,0,Jose Collier,19,Male,0
28805,18-01-2021 22.42,Books,348,1,2682,Credit Card,19,1,Jose Collier,19,Male,0
28805,07-01-2020 12.57,Books,103,4,731,Cash,19,0,Jose Collier,19,Male,0
28805,12-02-2021 20.33,Books,240,1,2563,PayPal,19,0,Jose Collier,19,Male,0
28805,02-07-2020 2.54,Clothing,368,1,1342,Credit Card,19,,Jose Collier,19,Male,0
28961,25-04-2021 23.55,Books,30,1,4135,PayPal,55,,James Stein,55,Male,0
28961,13-01-2020 9.57,Books,153,5,698,Credit Card,55,0,James Stein,55,Male,0
28961,18-06-2023 21.34,Clothing,259,1,2975,Credit Card,55,0,James Stein,55,Male,0
28961,10-09-2021 0.39,Books,489,3,2213,Credit Card,55,1,James Stein,55,Male,0
28961,01-06-2023 19.07,Books,232,3,4452,PayPal,55,1,James Stein,55,Male,0
12163,18-12-2021 17.49,Clothing,255,2,1642,Credit Card,67,,Sonia Moreno,67,Male,0
12163,20-06-2020 5.56,Books,227,3,887,PayPal,67,,Sonia Moreno,67,Male,0
12163,08-07-2023 13.36,Clothing,288,2,1405,PayPal,67,0,Sonia Moreno,67,Male,0
12163,01-07-2023 12.36,Books,60,3,4130,Cash,67,,Sonia Moreno,67,Male,0
12163,16-11-2022 8.56,Home,285,4,384,Crypto,67,,Sonia Moreno,67,Male,0
12163,07-04-2020 4.24,Books,100,5,1273,Cash,67,0,Sonia Moreno,67,Male,0
12163,28-11-2020 16.48,Electronics,28,4,495,Credit Card,67,0,Sonia Moreno,67,Male,0
